parent_1,parent_2,parent_3,leaf
Financial Services,-,-,Installment Loans
Home Services,-,-,Insulation Installation
Financial Services,-,-,Insurance
Home Services,-,-,Interior Design
Automotive,-,-,Interlock Systems
Doctors,Health & Medical,-,Internal Medicine
Restaurants,-,-,International
Local Services,-,-,Internet Booths & Calling Centers
Food,-,-,Internet Cafes
Gyms,Fitness & Instruction,Active Life,Interval Training Gyms
Food,-,-,International Grocery
Financial Services,-,-,Investing
Lawyers,Professional Services,-,IP & Internet Law
Restaurants,-,-,Irish
Bars,Nightlife,-,Irish Pub
Home Services,-,-,Irrigation
Restaurants,-,-,Island Pub
Home Services,-,-,Internet Service Providers
Restaurants,-,-,Israeli
Restaurants,-,-,Italian
Local Services,-,-,IT Services & Computer Repair
Health & Medical,-,-,IV Hydration
Japanese,Restaurants,-,Izakaya
Public Services & Government,-,-,Jails & Prisons
Mexican,Restaurants,-,Jaliscan
Japanese,Restaurants,-,Japanese Curry
Restaurants,-,-,Japanese
Nightlife,-,-,Jazz & Blues
Active Life,-,-,Jet Skis
Shopping,-,-,Jewelry
Local Services,-,-,Jewelry Repair
